Wirtschaftsindikatoren Wien;;;;;;;;;;;;
Main economic indicators Vienna;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GRP_GROWTH_RATE;GRP_CAPITA;GRP_EMPLOYEE;VALUE_ADDED_PRIMARY_SECTOR;VALUE_ADDED_SECONDARY_SECTOR;VALUE_ADDED_TERTIARY_SECTOR;NACE_Version;REF_DATE
AT1;AT13;AT130;00000;0000;;31800;57800;0,3;20,1;79,6;1.1;19951231
AT1;AT13;AT130;00000;0000;2,8;32700;58900;0,3;19,9;79,9;1.1;19961231
AT1;AT13;AT130;00000;0000;0,4;32800;59000;0,3;20,1;79,6;1.1;19971231
AT1;AT13;AT130;00000;0000;4,3;34200;60700;0,2;19,7;80,1;1.1;19981231
AT1;AT13;AT130;00000;0000;3,4;35300;61600;0,2;19,1;80,7;1.1;19991231
AT1;AT13;AT130;00000;0000;4,1;36600;63200;0,2;18,2;81,6;1.1;20001231
AT1;AT13;AT130;00000;0000;2,9;37400;64900;0,2;17,2;82,5;1.1;20011231
AT1;AT13;AT130;00000;0000;4,1;38400;67600;0,2;17,0;82,8;1.1;20021231
AT1;AT13;AT130;00000;0000;1,2;38400;68700;0,2;16,8;83,0;1.1;20031231
AT1;AT13;AT130;00000;0000;2,4;38900;70600;0,2;16,4;83,3;1.1;20041231
AT1;AT13;AT130;00000;0000;4,3;40000;73300;0,2;16,3;83,5;1.1;20051231
AT1;AT13;AT130;00000;0000;5,1;41700;75800;0,2;16,4;83,4;1.1;20061231
AT1;AT13;AT130;00000;0000;5,1;43500;78400;0,2;16,7;83,1;1.1;20071231
AT1;AT13;AT130;00000;0000;3,4;44700;79200;0,2;16,9;82,9;1.1;20081231
AT1;AT13;AT130;00000;0000;;42800;76500;0,1;17,4;82,5;2.0;20071231
AT1;AT13;AT130;00000;0000;3,2;43900;77200;0,1;17,3;82,6;2.0;20081231
AT1;AT13;AT130;00000;0000;-2,2;42600;75900;0,1;16,8;83,1;2.0;20091231
