Unselbstst„ndiges Einkommen nach Bezirk und Geschlecht ab 2002;;;;;;;;;;;;;;;
Income from dependent employment by district and sex since 2002;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE;
AT1;AT13;AT130;90101;0000;332815734;219606774;113208960;33419;42167;24310;52767;62858;40002;20101231;
AT1;AT13;AT130;90201;0000;1155657937;675817826;479840112;18998;20655;17136;28573;30378;26127;20101231;
AT1;AT13;AT130;90301;0000;1255672729;734456548;521216181;22166;25291;19009;33076;36415;28971;20101231;
AT1;AT13;AT130;90401;0000;491190389;290740036;200450353;24069;28164;20038;37297;42193;31444;20101231;
AT1;AT13;AT130;90501;0000;673229660;384688717;288540943;18659;20231;16954;28382;30091;26186;20101231;
AT1;AT13;AT130;90601;0000;460234476;267019737;193214739;22083;24979;19145;34072;37812;29560;20101231;
AT1;AT13;AT130;90701;0000;501999987;284273956;217726031;22694;25755;19758;34824;38082;31064;20101231;
AT1;AT13;AT130;90801;0000;379861056;216108424;163752632;23247;26591;20061;36454;40208;32181;20101231;
AT1;AT13;AT130;90901;0000;622976885;357437003;265539882;22324;25517;19225;35498;39431;31000;20101231;
AT1;AT13;AT130;91001;0000;2016442240;1196031990;820410250;18186;19828;16298;25772;27142;23779;20101231;
AT1;AT13;AT130;91101;0000;1148166095;682534302;465631793;18780;20685;16630;25709;27131;23607;20101231;
AT1;AT13;AT130;91201;0000;1054127352;612207646;441919706;18695;20333;16884;27134;28579;25138;20101231;
AT1;AT13;AT130;91301;0000;856480498;524330605;332149893;27656;33933;21695;39661;45818;31909;20101231;
AT1;AT13;AT130;91401;0000;1209406213;697886608;511519605;21692;24483;18889;30697;33275;27443;20101231;
AT1;AT13;AT130;91501;0000;775056656;445299197;329757459;16571;17676;15323;25085;26054;23744;20101231;
AT1;AT13;AT130;91601;0000;1151764261;660664271;491099991;18550;19979;16979;27137;28623;25166;20101231;
AT1;AT13;AT130;91701;0000;688073785;405551512;282522273;19845;22272;17272;30149;32573;26863;20101231;
AT1;AT13;AT130;91801;0000;759309394;455681458;303627936;24232;29104;19574;36963;42017;30778;20101231;
AT1;AT13;AT130;91901;0000;1038002850;649474106;388528744;25539;31191;19902;38716;44716;31013;20101231;
AT1;AT13;AT130;92001;0000;911841222;531856198;379985024;17455;18722;15993;25516;26560;24033;20101231;
AT1;AT13;AT130;92101;0000;1888189257;1106295102;781894155;20218;22707;17613;27802;29786;25052;20101231;
AT1;AT13;AT130;92201;0000;2389542769;1417401444;972141325;21934;25203;18591;29381;31837;25939;20101231;
AT1;AT13;AT130;92301;0000;1432397178;856179144;576218034;23242;27229;19273;31653;34918;27264;20101231;
AT1;AT13;AT130;90101;0000;337318585;221812836;115505749;32264;40505;23665;50015;59822;37941;20091231;
AT1;AT13;AT130;90201;0000;1126424196;661374170;465050026;19023;20700;17125;28410;30350;25834;20091231;
AT1;AT13;AT130;90301;0000;1244894423;730904132;513990291;22075;25329;18795;32226;35779;27896;20091231;
AT1;AT13;AT130;90401;0000;498744412;295172747;203571665;24303;28139;20444;36504;40619;31575;20091231;
AT1;AT13;AT130;90501;0000;678912242;390833095;288079147;18810;20443;17027;28284;30129;25932;20091231;
AT1;AT13;AT130;90601;0000;462220613;267760020;194460593;21954;24614;19203;33180;36650;29094;20091231;
AT1;AT13;AT130;90701;0000;516320526;290166048;226154478;22700;25665;19874;34272;37494;30650;20091231;
